win,turret_plates,early_roam_kills,first_blood,first_tower,first_dragon,first_rift_herald,void_grubs,min15_kills,min15_deaths,min15_assists,min15_wards_placed,min15_wards_killed,min15_control_wards,min15_cs,min15_cs_diff,min15_xp_diff,history_wr_global,history_wr_champ,racha_previa,is_MMR_check,role_JUNGLE,role_MIDDLE,role_TOP,role_UTILITY,is_flex
1,4,0,0,1,1,1,2,0.0,0.0,8.0,11.0,4.0,2.0,19.0,-10.0,63.0,0.4878048780487805,0.5,-2,0,0,0,0,1,0
1,0,0,0,0,1,0,3,2.0,2.0,5.0,9.0,5.0,1.0,25.0,8.0,-676.0,0.48936170212765956,0.5135135135135135,1,0,0,0,0,1,0
1,0,1,1,1,1,0,0,2.0,2.0,6.0,14.0,2.0,2.0,15.0,-15.0,-722.0,0.4909090909090909,0.5263157894736842,2,0,0,0,0,1,0
0,2,0,1,0,1,0,1,3.0,6.0,4.0,14.0,0.0,3.0,9.0,-3.0,251.0,0.49244712990936557,0.5384615384615384,3,1,0,0,0,1,0
1,0,1,1,1,1,1,1,3.0,1.0,12.0,11.0,2.0,2.0,15.0,1.0,885.0,0.49096385542168675,0.525,-1,0,0,0,0,1,0
1,1,0,1,0,0,1,0,1.0,1.0,6.0,7.0,4.0,2.0,25.0,7.0,449.0,0.4924924924924925,0.5365853658536586,1,0,0,0,0,1,0
0,2,0,0,1,0,0,0,0.0,4.0,3.0,11.0,1.0,3.0,23.0,3.0,-303.0,0.4940119760479042,0.5476190476190477,2,0,0,0,0,1,0
1,2,0,1,0,0,1,0,1.0,2.0,6.0,13.0,3.0,3.0,27.0,17.0,1056.0,0.4925373134328358,0.5348837209302325,-1,0,0,0,0,1,0
0,1,1,1,0,0,0,3,1.0,1.0,5.0,12.0,4.0,3.0,20.0,4.0,-415.0,0.49404761904761907,0.5454545454545454,1,0,0,0,0,1,0
0,0,0,0,1,1,0,0,2.0,1.0,3.0,11.0,2.0,2.0,22.0,3.0,521.0,0.49258160237388726,0.5333333333333333,-1,0,0,0,0,1,0
1,0,1,1,1,0,1,3,3.0,2.0,6.0,10.0,4.0,3.0,20.0,5.0,648.0,0.4911242603550296,0.6,-2,0,0,0,0,1,0
1,0,0,0,1,0,0,3,2.0,3.0,6.0,12.0,0.0,1.0,14.0,-9.0,-827.0,0.49262536873156343,0.5217391304347826,1,0,0,0,0,1,0
0,1,1,0,1,1,1,3,3.0,2.0,5.0,8.0,0.0,0.0,16.0,-2.0,1004.0,0.49411764705882355,0.6190476190476191,2,0,0,0,0,1,0
1,0,0,1,1,1,0,3,0.0,4.0,5.0,10.0,3.0,2.0,26.0,13.0,-746.0,0.49266862170087977,0.5909090909090909,-1,0,0,0,0,1,0
0,2,1,1,1,1,1,3,3.0,1.0,7.0,10.0,3.0,2.0,18.0,1.0,1814.0,0.49415204678362573,0.6086956521739131,1,0,0,0,0,1,0
1,2,0,1,1,1,1,3,2.0,2.0,7.0,4.0,6.0,1.0,24.0,4.0,125.0,0.49271137026239065,0.5833333333333334,-1,0,0,0,0,1,0
0,1,1,1,1,0,1,3,3.0,1.0,3.0,10.0,1.0,1.0,20.0,-1.0,235.0,0.4941860465116279,0.6,1,0,0,0,0,1,0
1,3,0,1,1,1,0,2,0.0,1.0,8.0,9.0,2.0,2.0,18.0,-14.0,-183.0,0.4927536231884058,0.5319148936170213,-1,0,0,0,0,1,0
